skip 																																			
Z (m)	Az (m2)	Tz (deg C)	POCz (mg/m3)	TPz (mg/m3)	DOPz (mg/m3)	DOCz (mg/m3)	TPz_sed (mg/m3)	Chlaz_sed (mg/m3)	"Fvol_IM (m3/m3, dry w.)"	Hice (m)	Hsnow (m)	O2z (mg/m3)	DICz (mg/m3)	NO3z (mg/m3)	NH4z (mg/m3)	SO4z (mg/m3)	HSz (mg/m3)	H2Sz (mg/m3)	Fe2z (mg/m3)	Ca2z (mg/m3)	pHz (mg/m3)	 CH4aqz (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 FeSz (mg/m3)	 CaCO3z (mg/m3)	 CH4gz (mg/m3)	 POPz (mg/m3)	Siz (mg/m3)	Chlaz (mg/m3)	Chlaz2 (mg/m3)	Chlaz3 (mg/m3)	Chlaz4 (mg/m3)	Chlaz5 (mg/m3)	Chlaz6 (mg/m3)
0	6718000	5.2676	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
1	6081358.111	5.2676	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
2	5630000	5.3124	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
3	5390126.17	5.3339	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
4	5212617.444	5.3554	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
5	5069945.633	5.3329	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
6	4934582.548	5.3104	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
7	4779000	5.2879	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
8	4597373.441	5.2896	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
9	4408002.333	5.2913	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
10	4219544.505	5.293	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
11	4040657.785	5.292666667	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
12	3880000	5.292333333	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
13	3735060.241	5.292	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
14	3597079.322	5.290433333	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
15	3465342.659	5.288866667	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
16	3339135.666	5.2873	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
17	3217743.758	5.290733333	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
18	3100452.349	5.294166667	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
19	2986546.854	5.2976	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
20	2875312.688	5.296833333	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
21	2766035.265	5.296066667	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
22	2658000	5.2953	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
23	2555465.398	5.304766667	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
24	2461400.781	5.314233333	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
25	2373157.787	5.3237	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
26	2288088.057	5.31534	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
27	2203543.229	5.30698	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
28	2116874.942	5.29862	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
29	2025434.837	5.29026	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
30	1926574.552	5.2819	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
31	1817645.726	5.2809	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
32	1696000	5.2799	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
33	1554140.789	5.2789	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
34	1389686.722	5.2779	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
35	1207662.262	5.2769	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
36	1013091.867	5.2769	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
37	811000	5.2769	0	17.69	0	0	0	0	0	0	0	10100	0	496	20	54300	0	0	0	94000	7.11	0	0	0	0	0	0	11.4725	1753.125	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833	0.318020833
